name	symbol_id	start_number
Wrist Circle Front Wall Single	02-10-005-01	0x2ed00
Wrist Circle Front Wall Double	02-10-005-02	0x2ee00
Wrist Circle Hits Wall Single	02-10-006-01	0x2ef00
Wrist Circle Hits Wall Double	02-10-006-02	0x2f000
Finger Circles Wall Single	02-10-007-01	0x2f100
Finger Circles Wall Double	02-10-007-02	0x2f200
Finger Circles Hits Wall Single	02-10-007-03	0x2f300
Finger Circles Hits Wall Double	02-10-007-04	0x2f400
Arrowheads Small	02-10-008-01	0x2f500
Arrowheads Large	02-10-008-02	0x2f600
Fast	03-01-001-01	0x2f700
Slow	03-01-002-01	0x2f800
Tense	03-01-003-01	0x2f900
Relaxed	03-01-003-02	0x2fa00
Same Time	03-01-004-01	0x2fb00
Same Time Alternating	03-01-004-02	0x2fc00
Every Other Time	03-01-004-03	0x2fd00
Gradual	03-01-004-04	0x2fe00
Head	04-01-001-01	0x2ff00
Head Rims	04-01-002-01	0x30000
Head Movement Straight Wall Plane	04-01-003-01	0x30100
Head Movement Tilts Wall Plane	04-01-004-01	0x30200
